ticker,company_name,cik,cik_padded
MMM,3M,66740,0000066740
AOS,A. O. Smith,91142,0000091142
ABT,Abbott Laboratories,1800,0000001800
ABBV,AbbVie,1551152,0001551152
ACN,Accenture,1467373,0001467373
ADBE,Adobe Inc.,796343,0000796343
AMD,Advanced Micro Devices,2488,0000002488
AES,AES Corporation,874761,0000874761
AFL,Aflac,4977,0000004977
A,Agilent Technologies,1090872,0001090872
APD,Air Products,2969,0000002969
ABNB,Airbnb,1559720,0001559720
AKAM,Akamai Technologies,1086222,0001086222
ALB,Albemarle Corporation,915913,0000915913
ARE,Alexandria Real Estate Equities,1035443,0001035443
ALGN,Align Technology,1097149,0001097149
ALLE,Allegion,1579241,0001579241
LNT,Alliant Energy,352541,0000352541
ALL,Allstate,899051,0000899051
GOOGL,Alphabet Inc. (Class A),1652044,0001652044
GOOG,Alphabet Inc. (Class C),1652044,0001652044
MO,Altria,764180,0000764180
AMZN,Amazon,1018724,0001018724
AMCR,Amcor,1748790,0001748790
AEE,Ameren,1002910,0001002910
AEP,American Electric Power,4904,0000004904
AXP,American Express,4962,0000004962
AIG,American International Group,5272,0000005272
AMT,American Tower,1053507,0001053507
AWK,American Water Works,1410636,0001410636
AMP,Ameriprise Financial,820027,0000820027
AME,Ametek,1037868,0001037868
AMGN,Amgen,318154,0000318154
APH,Amphenol,820313,0000820313
ADI,Analog Devices,6281,0000006281
AON,Aon plc,315293,0000315293
APA,APA Corporation,1841666,0001841666
APO,Apollo Global Management,1858681,0001858681
AAPL,Apple Inc.,320193,0000320193
AMAT,Applied Materials,6951,0000006951
APP,AppLovin,1751008,0001751008
APTV,Aptiv,1521332,0001521332
ACGL,Arch Capital Group,947484,0000947484
ADM,Archer Daniels Midland,7084,0000007084
ARES,Ares Management,1176948,0001176948
ANET,Arista Networks,1596532,0001596532
AJG,Arthur J. Gallagher & Co.,354190,0000354190
AIZ,Assurant,1267238,0001267238
T,AT&T,732717,0000732717
ATO,Atmos Energy,731802,0000731802
ADSK,Autodesk,769397,0000769397
ADP,Automatic Data Processing,8670,0000008670
AZO,AutoZone,866787,0000866787
AVY,Avery Dennison,8818,0000008818
AXON,Axon Enterprise,1069183,0001069183
BKR,Baker Hughes,1701605,0001701605
BALL,Ball Corporation,9389,0000009389
BAC,Bank of America,70858,0000070858
BAX,Baxter International,10456,0000010456
BDX,Becton Dickinson,10795,0000010795
BRK.B,Berkshire Hathaway,1067983,0001067983
BBY,Best Buy,764478,0000764478
TECH,Bio-Techne,842023,0000842023
BIIB,Biogen,875045,0000875045
BLK,BlackRock,2012383,0002012383
BX,Blackstone Inc.,1393818,0001393818
XYZ,"Block, Inc.",1512673,0001512673
BNY,BNY Mellon,1390777,0001390777
BA,Boeing,12927,0000012927
BKNG,Booking Holdings,1075531,0001075531
BSX,Boston Scientific,885725,0000885725
BMY,Bristol Myers Squibb,14272,0000014272
AVGO,Broadcom,1730168,0001730168
BR,Broadridge Financial Solutions,1383312,0001383312
BRO,Brown & Brown,79282,0000079282
BF.B,Brown–Forman,14693,0000014693
BLDR,Builders FirstSource,1316835,0001316835
BG,Bunge Global,1996862,0001996862
BXP,"BXP, Inc.",1037540,0001037540
CHRW,C.H. Robinson,1043277,0001043277
CDNS,Cadence Design Systems,813672,0000813672
CPT,Camden Property Trust,906345,0000906345
COF,Capital One,927628,0000927628
CAH,Cardinal Health,721371,0000721371
CCL,Carnival Corporation,815097,0000815097
CARR,Carrier Global,1783180,0001783180
CVNA,Carvana,1690820,0001690820
CASY,Casey's,726958,0000726958
CAT,Caterpillar Inc.,18230,0000018230
CBOE,Cboe Global Markets,1374310,0001374310
CBRE,CBRE Group,1138118,0001138118
CDW,CDW Corporation,1402057,0001402057
COR,Cencora,1140859,0001140859
CNC,Centene Corporation,1071739,0001071739
CNP,CenterPoint Energy,1130310,0001130310
CF,CF Industries,1324404,0001324404
CRL,Charles River Laboratories,1100682,0001100682
SCHW,Charles Schwab Corporation,316709,0000316709
CHTR,Charter Communications,1091667,0001091667
CVX,Chevron Corporation,93410,0000093410
CMG,Chipotle Mexican Grill,1058090,0001058090
CB,Chubb Limited,896159,0000896159
CHD,Church & Dwight,313927,0000313927
CIEN,Ciena,936395,0000936395
CI,Cigna,1739940,0001739940
CINF,Cincinnati Financial,20286,0000020286
CTAS,Cintas,723254,0000723254
CSCO,Cisco,858877,0000858877
C,Citigroup,831001,0000831001
CFG,Citizens Financial Group,759944,0000759944
CLX,Clorox,21076,0000021076
CME,CME Group,1156375,0001156375
CMS,CMS Energy,811156,0000811156
KO,Coca-Cola Company (The),21344,0000021344
CTSH,Cognizant,1058290,0001058290
COHR,Coherent Corp.,820318,0000820318
COIN,Coinbase,1679788,0001679788
CL,Colgate-Palmolive,21665,0000021665
CMCSA,Comcast,1166691,0001166691
FIX,Comfort Systems USA,1035983,0001035983
COP,ConocoPhillips,1163165,0001163165
